iter	RMSE
1431	0.312202343
1432	0.312165981
1433	0.31211468
1434	0.3120790293
1435	0.3120004666
1436	0.3119311037
1437	0.3118899572
1438	0.3118363617
1439	0.3117545879
1440	0.3116728272
1441	0.3116119808
1442	0.3115659836
1443	0.3115357288
1444	0.3114841224
1445	0.3114488622
1446	0.3114280884
1447	0.311404436
1448	0.3113667785
1449	0.3113418075
1450	0.3113201069
1451	0.311277918
1452	0.3112453448
1453	0.3111954881
1454	0.311138653
1455	0.3110772007
1456	0.3110144901
1457	0.3109782295
1458	0.3109518394
1459	0.3109214214
1460	0.3108555462
1461	0.3107996594
1462	0.3107527689
1463	0.3107174779
1464	0.3106886669
1465	0.3106055763
1466	0.3105309848
1467	0.3105086393
1468	0.3104910438
1469	0.310444313
1470	0.3104124239
1471	0.3103710205
1472	0.3103312978
1473	0.3102831536
1474	0.3102442832
1475	0.3101953675
1476	0.3101231367
1477	0.3100681595
1478	0.3100229376
1479	0.3099690418
1480	0.3099252175
1481	0.3098565806
1482	0.3098194206
1483	0.3097757744
1484	0.3097193348
1485	0.3097000113
1486	0.3096768147
1487	0.3096329719
1488	0.3095910772
1489	0.3095366847
1490	0.3094874725
1491	0.3094211211
1492	0.3093680087
1493	0.3093355367
1494	0.3092788399
1495	0.3092130661
1496	0.3091160987
1497	0.3090704464
1498	0.3090099958
1499	0.3089467701
1500	0.3088947326
1501	0.3088722716
1502	0.3088110914
1503	0.3087612971
1504	0.3087060751
1505	0.3086359559
1506	0.3086146498
1507	0.3085812186
1508	0.3084878341
